"","group"
"CCFEE_5001","G001"
"CCFEE_5193","G001"
"CCFEE_5195","G001"
"CCFEE_5199","G001"
"CCFEE_5200","G001"
"CCFEE_5208","G001"
"CCFEE_524","G001"
"CCFEE_5273","G001"
"CCFEE_5275","G001"
"CCFEE_5277","G001"
"CCFEE_5281","G001"
"CCFEE_5283","G001"
"CCFEE_5307","G001"
"CCFEE_5311","G001"
"CCFEE_5311_v1","G001"
"CCFEE_5486","G001"
"CCFEE_6074","G001"
"CCFEE_6081","G001"
"CCFEE_6082","G001"
"CCFEE_6096","G001"
"CCFEE_6249","G001"
"CCFEE_6250","G001"
"CCFEE_6464","G001"
"CCFEE_670","G001"
"CCFEE_690","G001"
